a_slp1	a_iast	b_slp1	b_iast
ASAQa	āśāḍha	AzAQa	āṣāḍha
AbADA	ābādhā	AvADA	āvādhā
AbaD	ābadh	AvaD	āvadh
Abarha	ābarha	Avarha	āvarha
Abarham	ābarham	Avarham	āvarham
Abarhin	ābarhin	Avarhin	āvarhin
Abarhita	ābarhita	Avarhita	āvarhita
Abfh	ābṛh	Avfh	āvṛh
Abila	ābila	Avila	āvila
Abilakanda	ābilakanda	Avilakanda	āvilakanda
Abutta	ābutta	Avutta	āvutta
Adimattva	ādimattva	Adimatva	ādimatva
AjAneya	ājāneya	AjAneyya	ājāneyya
AkAya	ākāya	AkAyya	ākāyya
AmarSa	āmarśa	Amarza	āmarṣa
AmfS	āmṛś	Amfz	āmṛṣ
AnAya	ānāya	AnAyya	ānāyya
Ana	āna	Anna	ānna
AnuSUka	ānuśūka	AnuzUka	ānuṣūka
Apana	āpana	Apanna	āpanna
Apati	āpati	Apatti	āpatti
ApiS	āpiś	Apiz	āpiṣ
ApyAya	āpyāya	ApyAyya	āpyāyya
ArADaya	ārādhaya	ArADayya	ārādhayya
ArSa	ārśa	Arza	ārṣa
Araba	āraba	Arava	ārava
Arawa	āraṭa	Arawwa	āraṭṭa
AriS	āriś	Ariz	āriṣ
AryaBawa	āryabhaṭa	AryaBawwa	āryabhaṭṭa
Asana	āsana	Asanna	āsanna
Ata	āta	Atta	ātta
Avfta	āvṛta	Avftta	āvṛtta
Avfti	āvṛti	Avftti	āvṛtti
AviS	āviś	Aviz	āviṣ
Ayata	āyata	Ayatta	āyatta
Ayati	āyati	Ayatti	āyatti
BAlUka	bhālūka	BAllUka	bhāllūka
BAla	bhāla	BAlla	bhālla
BAlluka	bhālluka	BAluka	bhāluka
BAwa	bhāṭa	BAwwa	bhāṭṭa
BImaBawa	bhīmabhaṭa	BImaBawwa	bhīmabhaṭṭa
BUBawa	bhūbhaṭa	BUBawwa	bhūbhaṭṭa
Bal	bhal	Ball	bhall
Bala	bhala	Balla	bhalla
Barb	bharb	Barv	bharv
Bavaddeva	bhavaddeva	Bavadeva	bhavadeva
BawA	bhaṭā	BawwA	bhaṭṭā
BawIya	bhaṭīya	BawwIya	bhaṭṭīya
Bawa	bhaṭa	Bawwa	bhaṭṭa
BawadIpikA	bhaṭadīpikā	BawwadIpikA	bhaṭṭadīpikā
BawaprakASa	bhaṭaprakāśa	BawwaprakASa	bhaṭṭaprakāśa
Baya	bhaya	Bayya	bhayya
Betavya	bhetavya	Bettavya	bhettavya
Bfj	bhṛj	Bfjj	bhṛjj
Braj	bhraj	Brajj	bhrajj
Calita	chalita	Callita	challita
DAnyabIja	dhānyabīja	DAnyavIja	dhānyavīja
DAnyakoSa	dhānyakośa	DAnyakoza	dhānyakoṣa
DAya	dhāya	DAyya	dhāyya
DUS	dhūś	DUz	dhūṣ
Dak	dhak	Dakk	dhakk
DarmabARijika	dharmabāṇijika	DarmavARijika	dharmavāṇijika
DarmabAhya	dharmabāhya	DarmavAhya	dharmavāhya
DarmakoSa	dharmakośa	Darmakoza	dharmakoṣa
DukA	dhukā	DukkA	dhukkā
ESa	aiśa	Eza	aiṣa
Gaw	ghaṭ	Gaww	ghaṭṭ
GawA	ghaṭā	GawwA	ghaṭṭā
GawI	ghaṭī	GawwI	ghaṭṭī
Gawa	ghaṭa	Gawwa	ghaṭṭa
GawanA	ghaṭanā	GawwanA	ghaṭṭanā
Gawana	ghaṭana	Gawwana	ghaṭṭana
Gawita	ghaṭita	Gawwita	ghaṭṭita
GfR	ghṛṇ	GfRR	ghṛṇṇ
GuR	ghuṇ	GuRR	ghuṇṇ
Guwi	ghuṭi	Guwwi	ghuṭṭi
IS	īś	Iz	īṣ
ISA	īśā	IzA	īṣā
ISa	īśa	Iza	īṣa
JAbuka	jhābuka	JAvuka	jhāvuka
JalarI	jhalarī	JallarI	jhallarī
Kal	khal	Kall	khall
KalI	khalī	KallI	khallī
Kala	khala	Kalla	khalla
Kali	khali	Kalli	khalli
KaliSa	khaliśa	KalliSa	khalliśa
KaqqukA	khaḍḍukā	KaqukA	khaḍukā
Karb	kharb	Karv	kharv
Kaw	khaṭ	Kaww	khaṭṭ
Kawa	khaṭa	Kawwa	khaṭṭa
KawikA	khaṭikā	KawwikA	khaṭṭikā
Kawika	khaṭika	Kawwika	khaṭṭika
Kulaka	khulaka	Kullaka	khullaka
Kuqaka	khuḍaka	Kuqqaka	khuḍḍaka
OSata	auśata	Ozata	auṣata
OSija	auśija	Ozija	auṣija
OtaNka	autaṅka	OttaNka	auttaṅka
PalaSAqava	phalaśāḍava	PalazAqava	phalaṣāḍava
Palakin	phalakin	Pallakin	phallakin
Palotpati	phalotpati	Palotpatti	phalotpatti
QilI	ḍhilī	QillI	ḍhillī
SARqa	śāṇḍa	zARqa	ṣāṇḍa
SAba	śāba	SAva	śāva
SAbara	śābara	SAvara	śāvara
SAbasta	śābasta	SAvasta	śāvasta
SAkI	śākī	SAkkI	śākkī
SAqava	śāḍava	zAqava	ṣāḍava
SAqbala	śāḍbala	SAqvala	śāḍvala
SESika	śaiśika	SEzika	śaiṣika
SESiri	śaiśiri	SEziri	śaiṣiri
SEbI	śaibī	SEvI	śaivī
SEba	śaiba	SEva	śaiva
SEbala	śaibala	SEvala	śaivala
SEbya	śaibya	SEvya	śaivya
SU	śū	zU	ṣū
Sa	śa	za	ṣa
SaR	śaṇ	zaR	ṣaṇ
SaRQa	śaṇḍha	zaRQa	ṣaṇḍha
SaRqAmarka	śaṇḍāmarka	zaRqAmarka	ṣaṇḍāmarka
SaRqa	śaṇḍa	zaRqa	ṣaṇḍa
SaRqika	śaṇḍika	zaRqika	ṣaṇḍika
SaS	śaś	Saz	śaṣ
SaS	śaś	zaz	ṣaṣ
Sabara	śabara	Savara	śavara
Sac	śac	zac	ṣac
SakAra	śakāra	zakAra	ṣakāra
Sakara	śakara	Sakkara	śakkara
Sala	śala	Salla	śalla
Salaka	śalaka	Sallaka	śallaka
Salyakartf	śalyakartṛ	Salyakarttf	śalyakarttṛ
Samba	śamba	Samva	śamva
Sambuka	śambuka	Sambukka	śambukka
Sana	śana	Sanna	śanna
Sarb	śarb	Sarv	śarv
Sasa	śasa	zasa	ṣasa
SatabalSa	śatabalśa	SatavalSa	śatavalśa
Satabala	śatabala	Satavala	śatavala
Satri	śatri	Sattri	śattri
Saw	śaṭ	zaw	ṣaṭ
Sawwaka	śaṭṭaka	zawwaka	ṣaṭṭaka
SayA	śayā	SayyA	śayyā
Saz	śaṣ	zaz	ṣaṣ
Seqa	śeḍa	Seqqa	śeḍḍa
Seya	śeya	Seyya	śeyya
SibIraTa	śibīratha	SivIraTa	śivīratha
Sibi	śibi	Sivi	śivi
Sibira	śibira	Sivira	śivira
SivabIja	śivabīja	SivavIja	śivavīja
So	śo	zo	ṣo
SramakarSita	śramakarśita	Sramakarzita	śramakarṣita
SroRibimba	śroṇibimba	SroRivimba	śroṇivimba
Su	śu	zu	ṣu
SucibAhya	śucibāhya	SucivAhya	śucivāhya
Sulb	śulb	Sulv	śulv
Sulba	śulba	Sulva	śulva
SvabAla	śvabāla	SvavAla	śvavāla
Sval	śval	Svall	śvall
SyAvanAya	śyāvanāya	SyAvanAyya	śyāvanāyya
UbaDya	ūbadhya	UvaDya	ūvadhya
aBISu	abhīśu	aBIzu	abhīṣu
aBimarSa	abhimarśa	aBimarza	abhimarṣa
aBimarSaka	abhimarśaka	aBimarzaka	abhimarṣaka
aBisaMvfta	abhisaṃvṛta	aBisaMvftta	abhisaṃvṛtta
aByarRRa	abhyarṇṇa	aByarRa	abhyarṇa
aByuccita	abhyuccita	aByucita	abhyucita
aDaHSaya	adhaḥśaya	aDaHSayya	adhaḥśayya
aDyarbuda	adhyarbuda	aDyarvuda	adhyarvuda
aNkola	aṅkola	aNkolla	aṅkolla
aRqakoSa	aṇḍakośa	aRqakoza	aṇḍakoṣa
aS	aś	az	aṣ
ab	ab	av	av
abIja	abīja	avIja	avīja
abaDA	abadhā	avaDA	avadhā
abaDa	abadha	avaDa	avadha
abaDya	abadhya	avaDya	avadhya
abahu	abahu	avahu	avahu
abanDya	abandhya	avanDya	avandhya
acita	acita	acitta	acitta
ajU	ajū	ajjU	ajjū
ajaya	ajaya	ajayya	ajayya
akabara	akabara	akabbara	akabbara
akabara	akabara	akavara	akavara
akfta	akṛta	akftta	akṛtta
akzaya	akṣaya	akzayya	akṣayya
alaja	alaja	alajja	alajja
amarA	amarā	ammarA	ammarā
amftabindUpanizad	amṛtabindūpaniṣad	amftavindUpanizad	amṛtavindūpaniṣad
anAda	anāda	annAda	annāda
anAdin	anādin	annAdin	annādin
anAdya	anādya	annAdya	annādya
anAhArin	anāhārin	annAhArin	annāhārin
anAkAla	anākāla	annAkAla	annākāla
anAvfta	anāvṛta	anAvftta	anāvṛtta
anAyata	anāyata	anAyatta	anāyatta
ana	ana	anna	anna
anana	anana	ananna	ananna
anapatya	anapatya	annapatya	annapatya
anirvfta	anirvṛta	anirvftta	anirvṛtta
anirvfti	anirvṛti	anirvftti	anirvṛtti
anivfta	anivṛta	anivftta	anivṛtta
anuSak	anuśak	anuzak	anuṣak
anukfS	anukṛś	anukfz	anukṛṣ
anupAta	anupāta	anupAtta	anupātta
anupiS	anupiś	anupiz	anupiṣ
anutara	anutara	anuttara	anuttara
anyAya	anyāya	anyAyya	anyāyya
apAvfta	apāvṛta	apAvftta	apāvṛtta
apAvfti	apāvṛti	apAvftti	apāvṛtti
apajaya	apajaya	apajayya	apajayya
aparIta	aparīta	aparItta	aparītta
apati	apati	appati	appati
apratA	apratā	aprattA	aprattā
apratIta	apratīta	apratItta	apratītta
aq	aḍ	aqq	aḍḍ
arb	arb	arv	arv
arbuka	arbuka	arvuka	arvuka
arpiSa	arpiśa	arpiza	arpiṣa
aruSa	aruśa	aruza	aruṣa
asaMyata	asaṃyata	asaMyatta	asaṃyatta
asana	asana	asanna	asanna
ati	ati	atti	atti
atiSakta	atiśakta	atizakta	atiṣakta
atibAlaka	atibālaka	ativAlaka	ativālaka
atra	atra	attra	attra
atri	atri	attri	attri
atyulbaRa	atyulbaṇa	atyulvaRa	atyulvaṇa
avakfS	avakṛś	avakfz	avakṛṣ
avakfta	avakṛta	avakftta	avakṛtta
avapana	avapana	avapanna	avapanna
avasAya	avasāya	avasAyya	avasāyya
avata	avata	avatta	avatta
avataram	avataram	avattaram	avattaram
avfta	avṛta	avftta	avṛtta
avikraya	avikraya	avikrayya	avikrayya
aw	aṭ	aww	aṭṭ
awA	aṭā	awwA	aṭṭā
awAya	aṭāya	awwAya	aṭṭāya
awaka	aṭaka	awwaka	aṭṭaka
awana	aṭana	awwana	aṭṭana
awawa	aṭaṭa	awwawwa	aṭṭaṭṭa
bAD	bādh	vAD	vādh
bADUla	bādhūla	vADUla	vādhūla
bADin	bādhin	vADin	vādhin
bAQa	bāḍha	vAQa	vāḍha
bAQam	bāḍham	vAQam	vāḍham
bARI	bāṇī	vARI	vāṇī
bARa	bāṇa	vARa	vāṇa
bARavat	bāṇavat	vARavat	vāṇavat
bARi	bāṇi	vARi	vāṇi
bARija	bāṇija	vARija	vāṇija
bARin	bāṇin	vARin	vāṇin
bAbara	bābara	vAvara	vāvara
bAdAma	bādāma	vAdAma	vādāma
bAdara	bādara	vAdara	vādara
bAh	bāh	vAh	vāh
bAhAdura	bāhādura	vAhAdura	vāhādura
bAhIka	bāhīka	vAhIka	vāhīka
bAha	bāha	vAha	vāha
bAhawa	bāhaṭa	vAhawa	vāhaṭa
bAhlIkI	bāhlīkī	vAhlIkI	vāhlīkī
bAhlIka	bāhlīka	vAhlIka	vāhlīka
bAhli	bāhli	vAhli	vāhli
bAhuli	bāhuli	vAhuli	vāhuli
bAhyA	bāhyā	vAhyA	vāhyā
bAhyASva	bāhyāśva	vAhyASva	vāhyāśva
bAhya	bāhya	vAhya	vāhya
bAhyatva	bāhyatva	vAhyatva	vāhyatva
bAka	bāka	vAka	vāka
bAkula	bākula	vAkula	vākula
bAlA	bālā	vAlA	vālā
bAlAgra	bālāgra	vAlAgra	vālāgra
bAlAha	bālāha	vAlAha	vālāha
bAla	bāla	vAla	vāla
bAlaKilya	bālakhilya	vAlaKilya	vālakhilya
bAlabanDana	bālabandhana	vAlabanDana	vālabandhana
bAlaka	bālaka	vAlaka	vālaka
bAlamUlaka	bālamūlaka	vAlamUlaka	vālamūlaka
bAlamfga	bālamṛga	vAlamfga	vālamṛga
bAlapASyA	bālapāśyā	vAlapASyA	vālapāśyā
bAlaputra	bālaputra	vAlaputra	vālaputra
bAleya	bāleya	vAleya	vāleya
bAli	bāli	vAli	vāli
bAlin	bālin	vAlin	vālin
bAlu	bālu	vAlu	vālu
bAq	bāḍ	vAq	vāḍ
bAqaba	bāḍaba	vAqaba	vāḍaba
bAqaba	bāḍaba	vAqava	vāḍava
bAqeyIputra	bāḍeyīputra	vAqeyIputra	vāḍeyīputra
bArQya	bārḍhya	vArQya	vārḍhya
bAra	bāra	vAra	vāra
bArbara	bārbara	vArvara	vārvara
bArhaspata	bārhaspata	vArhaspata	vārhaspata
bArhat	bārhat	vArhat	vārhat
bAsa	bāsa	vAsa	vāsa
bAskala	bāskala	vAskala	vāskala
bAspa	bāspa	vAspa	vāspa
bAsta	bāsta	vAsta	vāsta
bAsteya	bāsteya	vAsteya	vāsteya
bAzkala	bāṣkala	vAzkala	vāṣkala
bAzpa	bāṣpa	vAzpa	vāṣpa
bEdAyana	baidāyana	vEdAyana	vaidāyana
bEda	baida	vEda	vaida
bEdala	baidala	vEdala	vaidala
bEdi	baidi	vEdi	vaidi
bEhInari	baihīnari	vEhInari	vaihīnari
bEjaladeva	baijaladeva	vEjaladeva	vaijaladeva
bEjavApa	baijavāpa	vEjavApa	vaijavāpa
bEji	baiji	vEji	vaiji
bEjika	baijika	vEjika	vaijika
bEki	baiki	vEki	vaiki
bEla	baila	vEla	vaila
bElva	bailva	vElva	vailva
bEmbaki	baimbaki	vEmbaki	vaimbaki
bEndava	baindava	vEndava	vaindava
bEqAla	baiḍāla	vEqAla	vaiḍāla
bEzka	baiṣka	vEzka	vaiṣka
bF	bṝ	vF	vṝ
bIB	bībh	vIB	vībh
bISa	bīśa	vISa	vīśa
bIja	bīja	vIja	vīja
bIjita	bījita	vIjita	vījita
bIjya	bījya	vIjya	vījya
bIriRa	bīriṇa	vIriRa	vīriṇa
bIwaka	bīṭaka	vIwaka	vīṭaka
bOdDa	bauddha	vOdDa	vauddha
bUbaSarman	būbaśarman	vUvaSarman	vūvaśarman
ba	ba	va	va
baBr	babhr	vaBr	vabhr
baBruka	babhruka	vaBruka	vabhruka
baD	badh	vaD	vadh
baDU	badhū	vaDU	vadhū
baDira	badhira	vaDira	vadhira
baDya	badhya	vaDya	vadhya
baMh	baṃh	vaMh	vaṃh
baMhIyas	baṃhīyas	vaMhIyas	vaṃhīyas
baMhizWa	baṃhiṣṭha	vaMhizWa	vaṃhiṣṭha
baR	baṇ	vaR	vaṇ
baRij	baṇij	vaRij	vaṇij
baW	baṭh	vaW	vaṭh
bad	bad	vad	vad
badara	badara	vadara	vadara
bah	bah	vah	vah
bahInara	bahīnara	vahInara	vahīnara
bahala	bahala	vahala	vahala
bahiS	bahiś	bahiz	bahiṣ
bahis	bahis	vahis	vahis
bahli	bahli	vahli	vahli
bahubIja	bahubīja	bahuvIja	bahuvīja
bakAra	bakāra	vakAra	vakāra
baka	baka	vaka	vaka
bakerukA	bakerukā	vakerukA	vakerukā
bakula	bakula	vakula	vakula
bal	bal	val	val
balAhaka	balāhaka	valAhaka	valāhaka
balAka	balāka	valAka	valāka
balAsaka	balāsaka	valAsaka	valāsaka
balSa	balśa	valSa	valśa
balUka	balūka	valUka	valūka
balUla	balūla	valUla	valūla
bala	bala	balla	balla
bala	bala	vala	vala
balaBid	balabhid	valaBid	valabhid
balaka	balaka	valaka	valaka
balakrama	balakrama	valakrama	valakrama
balakza	balakṣa	valakza	valakṣa
balanASana	balanāśana	valanASana	valanāśana
balana	balana	valana	valana
balasUdana	balasūdana	valasUdana	valasūdana
balavat	balavat	valavat	valavat
balaya	balaya	valaya	valaya
balbaja	balbaja	balvaja	balvaja
balbaja	balbaja	valvaja	valvaja
balh	balh	valh	valh
balhi	balhi	valhi	valhi
bali	bali	vali	vali
baliSa	baliśa	valiSa	valiśa
balika	balika	valika	valika
balimat	balimat	valimat	valimat
balla	balla	valla	valla
ballava	ballava	vallava	vallava
balva	balva	valva	valva
balvaja	balvaja	valvaja	valvaja
bamBArava	bambhārava	vamBArava	vambhārava
banDula	bandhula	vanDula	vandhula
banDura	bandhura	vanDura	vandhura
banDya	bandhya	vanDya	vandhya
band	band	vand	vand
bandI	bandī	vandI	vandī
bandi	bandi	vandi	vandi
bandin	bandin	vandin	vandin
bappa	bappa	vappa	vappa
bapyanIla	bapyanīla	vapyanIla	vapyanīla
baqA	baḍā	vaqA	vaḍā
baqabA	baḍabā	vaqabA	vaḍabā
baqiSa	baḍiśa	vaqiSa	vaḍiśa
barIvarda	barīvarda	varIvarda	varīvarda
bara	bara	vara	vara
barawa	baraṭa	varawa	varaṭa
barbara	barbara	varvara	varvara
barbari	barbari	varvari	varvari
barbawa	barbaṭa	varvawa	varvaṭa
barh	barh	varh	varh
barha	barha	varha	varha
bariSI	bariśī	variSI	variśī
barkara	barkara	varkara	varkara
baru	baru	varu	varu
basta	basta	vasta	vasta
basti	basti	vasti	vasti
bastya	bastya	vastya	vastya
bata	bata	vata	vata
bava	bava	vava	vava
baw	baṭ	vaw	vaṭ
bawu	baṭu	vawu	vaṭu
bawwa	baṭṭa	vawwa	vaṭṭa
bazkaya	baṣkaya	vazkaya	vaṣkaya
beS	beś	veS	veś
bedarakara	bedarakara	vedarakara	vedarakara
beh	beh	veh	veh
bekuri	bekuri	vekuri	vekuri
beqA	beḍā	veqA	veḍā
bewI	beṭī	vewI	veṭī
bfMh	bṛṃh	vfMh	vṛṃh
bfQa	bṛḍha	vfQa	vṛḍha
bfgala	bṛgala	vfgala	vṛgala
bfh	bṛh	vfh	vṛh
bfhat	bṛhat	vfhat	vṛhat
bfndAraRya	bṛndāraṇya	vfndAraRya	vṛndāraṇya
bfsaya	bṛsaya	vfsaya	vṛsaya
bfzI	bṛṣī	vfzI	vṛṣī
biBIzikA	bibhīṣikā	viBIzikA	vibhīṣikā
biS	biś	viS	viś
biSAyaka	biśāyaka	viSAyaka	viśāyaka
biSa	biśa	biza	biṣa
biSa	biśa	viSa	viśa
bibboka	bibboka	vibboka	vibboka
bibboka	bibboka	vivvoka	vivvoka
bid	bid	vid	vid
bida	bida	vida	vida
bidala	bidala	vidala	vidala
bidura	bidura	vidura	vidura
bihlaRa	bihlaṇa	vihlaRa	vihlaṇa
bil	bil	vil	vil
bilAla	bilāla	vilAla	vilāla
bilAsin	bilāsin	vilAsin	vilāsin
bila	bila	billa	billa
bila	bila	vila	vila
billa	billa	villa	villa
bimba	bimba	vimba	vimba
bind	bind	vind	vind
binda	binda	vinda	vinda
bindu	bindu	vindu	vindu
biq	biḍ	viq	viḍ
biqAraka	biḍāraka	viqAraka	viḍāraka
birAla	birāla	virAla	virāla
birada	birada	virada	virada
biruda	biruda	viruda	viruda
bis	bis	vis	vis
biw	biṭ	viw	viṭ
biwaka	biṭaka	viwaka	viṭaka
biza	biṣa	viza	viṣa
blI	blī	vlI	vlī
blezka	bleṣka	vlezka	vleṣka
bohitTa	bohittha	vohitTa	vohittha
bokkARa	bokkāṇa	vokkARa	vokkāṇa
bopadeva	bopadeva	vopadeva	vopadeva
borasidDi	borasiddhi	vorasidDi	vorasiddhi
brUs	brūs	vrUs	vrūs
braDna	bradhna	vraDna	vradhna
braR	braṇ	vraR	vraṇ
brahmabala	brahmabala	brahmavala	brahmavala
brahman	brahman	vrahman	vrahman
bruq	bruḍ	vruq	vruḍ
buNg	buṅg	vuNg	vuṅg
buSa	buśa	buza	buṣa
buhnA	buhnā	vuhnA	vuhnā
buk	buk	bukk	bukk
buka	buka	bukka	bukka
buka	buka	vuka	vuka
bula	bula	bulla	bulla
bunD	bundh	vunD	vundh
buq	buḍ	vuq	vuḍ
cAruveSa	cāruveśa	cAruveza	cāruveṣa
cEtika	caitika	cEttika	caittika
cIb	cīb	cIv	cīv
cak	cak	cakk	cakk
caka	caka	cakka	cakka
cakana	cakana	cakkana	cakkana
cakzuS	cakṣuś	cakzuz	cakṣuṣ
carb	carb	carv	carv
carmakaSA	carmakaśā	carmakazA	carmakaṣā
catuS	catuś	catuz	catuṣ
cawa	caṭa	cawwa	caṭṭa
cel	cel	cell	cell
cetf	cetṛ	cettf	cettṛ
cil	cil	cill	cill
cili	cili	cilli	cilli
cilikA	cilikā	cillikA	cillikā
cipawa	cipaṭa	cippawa	cippaṭa
citI	citī	cittI	cittī
cita	cita	citta	citta
citi	citi	citti	citti
citrapawa	citrapaṭa	citrapawwa	citrapaṭṭa
cuccu	cuccu	cucu	cucu
cul	cul	cull	cull
cula	cula	culla	culla
cuq	cuḍ	cuqq	cuḍḍ
cuw	cuṭ	cuww	cuṭṭ
dAta	dāta	dAtta	dātta
dInAra	dīnāra	dInnAra	dīnnāra
dOS	dauś	dOz	dauṣ
dUSya	dūśya	dUzya	dūṣya
dada	dada	dadda	dadda
dfSad	dṛśad	dfzad	dṛṣad
dfkARa	dṛkāṇa	dfkkARa	dṛkkāṇa
dina	dina	dinna	dinna
duS	duś	duz	duṣ
duda	duda	dudda	dudda
durbAla	durbāla	durvAla	durvāla
durbala	durbala	durvala	durvala
durnimita	durnimita	durnimitta	durnimitta
durviSa	durviśa	durviza	durviṣa
dyuta	dyuta	dyutta	dyutta
fSya	ṛśya	fzya	ṛṣya
gAveSa	gāveśa	gAveza	gāveṣa
gIrbARa	gīrbāṇa	gIrvARa	gīrvāṇa
gala	gala	galla	galla
galaka	galaka	gallaka	gallaka
gaqquka	gaḍḍuka	gaquka	gaḍuka
garBakoSa	garbhakośa	garBakoza	garbhakoṣa
garb	garb	garv	garv
gardaBila	gardabhila	gardaBilla	gardabhilla
gaveSa	gaveśa	gaveza	gaveṣa
gohila	gohila	gohilla	gohilla
gola	gola	golla	golla
gopita	gopita	gopitta	gopitta
hakAra	hakāra	hakkAra	hakkāra
hala	hala	halla	halla
haladI	haladī	haladdI	haladdī
halaka	halaka	hallaka	hallaka
hallISa	hallīśa	hallIza	hallīṣa
hallISaka	hallīśaka	hallIzaka	hallīṣaka
ham	ham	hamm	hamm
hana	hana	hanna	hanna
haqa	haḍa	haqqa	haḍḍa
haqi	haḍi	haqqi	haḍḍi
haqika	haḍika	haqqika	haḍḍika
hariBawa	haribhaṭa	hariBawwa	haribhaṭṭa
hariSa	hariśa	hariza	hariṣa
hawa	haṭa	hawwa	haṭṭa
helAvuka	helāvuka	helAvukka	helāvukka
heqAvuka	heḍāvuka	heqAvukka	heḍāvukka
hfdaya	hṛdaya	hfdayya	hṛdayya
hfddyota	hṛddyota	hfdyota	hṛdyota
hfddyotana	hṛddyotana	hfdyotana	hṛdyotana
hibuka	hibuka	hivuka	hivuka
hila	hila	hilla	hilla
himabAlukA	himabālukā	himavAlukA	himavālukā
himabAluka	himabāluka	himavAluka	himavāluka
himaka	himaka	himmaka	himmaka
hula	hula	hulla	hulla
iSIkA	iśīkā	izIkA	iṣīkā
indrabIja	indrabīja	indravIja	indravīja
indrakoSa	indrakośa	indrakoza	indrakoṣa
jAjala	jājala	jAjalla	jājalla
jEyawa	jaiyaṭa	jEyyawa	jaiyyaṭa
jIvatokA	jīvatokā	jIvattokA	jīvattokā
jagannu	jagannu	jaganu	jaganu
jaja	jaja	jajja	jajja
jaya	jaya	jayya	jayya
jyotiS	jyotiś	jyotiz	jyotiṣ
kASa	kāśa	kAza	kāṣa
kASeya	kāśeya	kAzeya	kāṣeya
kASi	kāśi	kAzi	kāṣi
kASin	kāśin	kAzin	kāṣin
kAbanDa	kābandha	kAvanDa	kāvandha
kAcabakayantra	kācabakayantra	kAcavakayantra	kācavakayantra
kAkabanDyA	kākabandhyā	kAkavanDyA	kākavandhyā
kAlameSikA	kālameśikā	kAlamezikA	kālameṣikā
kAmpila	kāmpila	kAmpilla	kāmpilla
kArSa	kārśa	kArza	kārṣa
kArSya	kārśya	kArzya	kārṣya
kArotara	kārotara	kArottara	kārottara
kEyawa	kaiyaṭa	kEyyawa	kaiyyaṭa
kIrti	kīrti	kIrtti	kīrtti
kOSeya	kauśeya	kOzeya	kauṣeya
kOSya	kauśya	kOzya	kauṣya
kOlaba	kaulaba	kOlava	kaulava
kSA	kśā	kzA	kṣā
kUSmARqa	kūśmāṇḍa	kUzmARqa	kūṣmāṇḍa
kUSmARqaka	kūśmāṇḍaka	kUzmARqaka	kūṣmāṇḍaka
kUSma	kūśma	kUzma	kūṣma
kUbara	kūbara	kUvara	kūvara
kaMya	kaṃya	kaMyya	kaṃyya
kaMyu	kaṃyu	kaMyyu	kaṃyyu
kaNkeli	kaṅkeli	kaNkelli	kaṅkelli
kaS	kaś	kaz	kaṣ
kaSA	kaśā	kazA	kaṣā
kaSAGAta	kaśāghāta	kazAGAta	kaṣāghāta
kaSAya	kaśāya	kazAya	kaṣāya
kaSIkA	kaśīkā	kazIkA	kaṣīkā
kaSa	kaśa	kaza	kaṣa
kab	kab	kav	kav
kabanDa	kabandha	kavanDa	kavandha
kabanDin	kabandhin	kavanDin	kavandhin
kabara	kabara	kavara	kavara
kabila	kabila	kavila	kavila
kadana	kadana	kadanna	kadanna
kak	kak	kakk	kakk
kal	kal	kall	kall
kala	kala	kalla	kalla
kalamUka	kalamūka	kallamUka	kallamūka
kalatA	kalatā	kallatA	kallatā
kalatva	kalatva	kallatva	kallatva
kalawa	kalaṭa	kallawa	kallaṭa
kali	kali	kalli	kalli
kalinATa	kalinātha	kallinATa	kallinātha
kalyARabIja	kalyāṇabīja	kalyARavIja	kalyāṇavīja
kampila	kampila	kampilla	kampilla
kana	kana	kanna	kanna
kaq	kaḍ	kaqq	kaḍḍ
karSita	karśita	karzita	karṣita
karabAla	karabāla	karavAla	karavāla
karb	karb	karv	karv
karbarI	karbarī	karvarI	karvarī
karbara	karbara	karvara	karvara
karmaSa	karmaśa	karmaza	karmaṣa
kartavya	kartavya	karttavya	karttavya
kartf	kartṛ	karttf	karttṛ
kaw	kaṭ	kaww	kaṭṭ
kawAra	kaṭāra	kawwAra	kaṭṭāra
kawana	kaṭana	kawwana	kaṭṭana
kaya	kaya	kayya	kayya
kfS	kṛś	kfz	kṛṣ
kfSAku	kṛśāku	kfzAku	kṛṣāku
