root_slp1	hw_dev	in_verbs01	hindi_gloss
apasavyam kf	अपसव्यम् कृ	N	दाहिनी ओर रखते हुए किसी की परिक्रमा करना, जनेऊ को दायें कंधे से लटकाना
apehi	अपेहि	N	इस शब्द का अर्थ होता है ""के  बिना"" ""निकाल कर"" सम्मिलत न करके"" 
arG	अर्घ्	Y	मूल्यवान होना,मूल्य रखना,मूल्य लगना
arT	अर्थ्	N	प्रार्थना करना,याचना करना, गिड़गिड़ाना,मांगना,अनुरोध करना,दीन भाव से मांगना
arb	अर्ब्	Y	की ओर जाना
arc	अर्च्	Y	(क) पूजा करना,अभिवादन करना,सत्कार करना, (ख) सम्मान करना अर्थात् अलंकृत करना, सजा
ard	अर्द्	Y	दुःख देना,व्यथित करना,प्रहार करना,चोट पहुँचाना,मारना
argalaM dA	अर्गलं दा	N	कुंडी लगाना,  चटखनी लगाना
arh	अर्ह्	Y	अधिकारी होना, योग्य होना
arj	अर्ज्	Y	उपार्जन करना,उपलब्ध करना,प्राप्त करना,कमाना
ark	अर्क्	N	गर्म करना
as	अस्	Y	होना,रहना,विद्यमान होना
asADu man	असाधु मन्	N	नापसंद करना
asUyati	असूयति	N	डाह करना,ईर्ष्यालु होना मान घटाना,अप्रसन्न होना,घृणा करना,असन्तुष्त होना,क्रुद्ध
astaM yA	अस्तं या	N	छिपना, अस्त होना क्षीण होना
astrARi kf	अस्त्राणि कृ	N	शस्त्रास्त्रों के प्रयोग का अभ्यास करना
at	अत्	Y	जाना, चलना, घूमना, लगातार चलते रहना
av	अव्	Y	रक्षा करना, बचाना
avACid	अवाछिद्	N	फाड़ देना, छिन्न-भिन्न कर देना
avaDIr	अवधीर्	N	अवहेलना करना, अनादर करना, नीचा दिखाना, घृणा करना, तिरस्कार करना
avaDyE	अवध्यै	N	तिरस्कार करना
avaSf	अवशृ	N	टूटना
avaci	अवचि	N	परखना, चुनना, छाँटना
avagal	अवगल्	N	नीचे गिर जाना, फिसल जाना
avahve	अवह्वे	N	पुकारना, बुलाना
avakASaM dA	अवकाशं दा	N	स्थान देना, जगह देना
avakASaM ruD	अवकाशं रुध्	N	रोकना, बाधा डालना
avanizWIv	अवनिष्ठीव्	N	किसी पर थूकना
avaplu	अवप्लु	N	नीचे छलाँग लगानी
avarIkf	अवरीकृ	N	निकट लाना
avasPUrj	अवस्फूर्ज्	N	खुर्राटें भरना, ’घुर्राटा’ करना
avataMsayati	अवतंसयति	N	कर्णाभूषण के रुप में प्रयुक्त करना, कानों की बालियाँ बनाना
avatf	अवतृ	N	पार करना
avrata	अव्रत	N	जो धार्मिक संस्कार तथा अन्य धर्मानुष्ठान का पालन न करता हो
aw	अट्	Y	इधर उधर घूमना, स्वभावतः इधर उधर घूमना जैसे कि कोई साधू संत घूमता है
aww	अट्ट्	Y	वध करना
ay	अय्	N	जाना
bAD	बाध्	Y	तंग करना, उत्पीडित करना, सताना, अत्याचार करना, छेड़ना, कष्ट देना, दुःखी करना, परे
bAq	बाड्	Y	स्नान करना
bAzpAya	बाष्पाय	N	आँसू बहाना, रोना
bIjAkf	बीजाकृ	N	बीज बोना
baBO	बभौ	N	चमका
baD	बध्	N	घिन करना, घृणा करना, अरुचि रखना, संकोच करना, झिझका, ऊबना
baDiraya	बधिरय	N	बहरा बनाना
baMh	बंह्	Y	बढ़ना, उगना
bahirgam	बहिर्गम्	N	बाहर जाना, चले जाना
bahiri	बहिरि	N	बाहर जाना, चले जाना
bahiryA	बहिर्या	N	बाहर जाना, चले जाना
bahizkf	बहिष्कृ	N	बाहर की ओर रखना, से निकालना, हाँक कर बाहर कर देना
bahu man	बहु मन्	N	बहुत मानना, बड़ा समझना, बहुत मूल्य आंकना, वरेण्य समझना, पूज्य मानना
bahulIBU	बहुलीभू	N	फैलाना, विस्तृत करना, गुणा करना
bahulIkf	बहुलीकृ	N	प्रकाशित करना, खोलना, भंडाफोड़ करना
bahuman	बहुमन्	N	बहुत सोचना, बहुत मानना, ऊँचा मूल्य लगाना, बहुमूल्य मानना,  कद्र करना
bal	बल्	Y	सांस लेना, जीना
bamb	बम्ब्	Y	जाना, चलना-फिरना
banD	बन्ध्	Y	बांधना, कसना, जकड़ना
banDUkf	बन्धूकृ	N	मित्र बनाना
barh	बर्ह्	Y	बोलना
barv	बर्व्	N	जाना, चलना-फिरना
beh	बेह्	N	उद्योग करना, चेष्टा करना, प्रयत्न करना
bfMh	बृंह्	N	बढ़ना, उगना
bfh	बृह्	N	उगना, बढ़ना, फैलाना
bid	बिद्	Y	खण्ड खण्ड करना
bil	बिल्	Y	खंड खंड करना फाड़ना, तोड़ना, बांटना, टुकड़े-टुकड़े करना
bind	बिन्द्	N	खण्ड खण्ड करना
bis	बिस्	Y	जाना, हिलना-डुलना
biw	बिट्	Y	शपथ लेना
brU	ब्रू	Y	कहना बोलना, बात करना 
buD	बुध्	Y	जानना, समझना, संबोध होना
bud	बुद्	N	प्रत्यक्ष करना, देखना, समझना, पहचानना
bukk	बुक्क्	Y	भौंकना
bul	बुल्	Y	डूबना,गोता लगाना
bunD	बुन्ध्	Y	प्रत्यक्ष करना, देखना, भांपना
bund	बुन्द्	Y	प्रत्यक्ष करना, देखना, भांपना
bus	बुस्	Y	छोड़ना, उगलना, उडलना
bust	बुस्त्	Y	सम्मान करना, आदर करना
cAy	चाय्	Y	निरीक्षण करना,  अच्छा बुरा पहचानना,  देख लेना
cIva	चीव	N	पहनना,  ओढना
cUrR	चूर्ण्	N	चूरा-चूरा करना,  कुचलना,  पीस देना
cUz	चूष्	Y	पीना,  चूसना, चूस लेना
caYc	चञ्च्	Y	चलायमान करना, लहराना, हिलाना
cad	चद्	Y	कहना, प्रार्थना करना
cah	चह्	Y	दुष्ट होना
cak	चक्	Y	तृप्त होना, सन्तुष्ट होना
cakAs	चकास्	Y	चमकना, उज्ज्वल होना 
cakz	चक्ष्	Y	देखना, पर्यवेक्षणा करना, प्रत्यक्षज्ञान प्राप्त करना
cakzurdA	चक्षुर्दा	N	नजर डालना, देखना
cal	चल्	Y	हिलाना,  काँपना,  धड़कना,  थरथराना,  स्पन्दित होना
call	चल्ल्	N	खेलना, क्रीडा करना,  प्रेमोन्माद में प्रीतिसूचक संकेत करना
cam	चम्	Y	पीना, आचमन करना,  चढ़ा जाना
camatkf	चमत्कृ	N	आश्चर्य पैदा करना, प्रदर्शन करना
camp	चम्प्	Y	जाना, चलना-फिरना
canda	चन्द	N	चमकना,  प्रसन्न होना,  खुश होना
cap	चप्	Y	सान्त्वना देना,  ढाढस देना
car	चर्	Y	चलना,  घूमना,  इधर-उधर जाना,  चक्कर  काटना,  भ्रमण करना
carc	चर्च्	Y	पढ्ना,  ध्यान पूर्वक पढ़ना,अनुशीलन करना,  अध्ययन करना
carv	चर्व्	Y	चबाना,  कुतरना,  खाना,  कोंपल चरना, काटना
caw	चट्	Y	टूटना, गिरना, अलग होना
cawulay	चटुलय्	N	इधर-उधर घूमना
cay	चय्	Y	किसी जगह जाना,  हिलना-जुलना
caz	चष्	Y	खाना
cel	चेल्	Y	जाना,  हिलना-जुलना
cezw	चेष्ट्	Y	हिलना- जुलना, हिलना- डुलना, सक्रिय होना,  जीवन के चिह्न दिखलाना
cft	चृत्	N	चोट पहुँचाना,  मार डालना
ci	चि	Y	चुनना,  बीनना,  इकट्ठा करना
cil	चिल्	Y	कपड़े पहनना,  वस्त्र धारण करना
cill	चिल्ल्	Y	ढीला होना, शिथिल होना,  पिलपिला होना
cint	चिन्त्	Y	सोचना,  विचारना,  विमर्श करना,  चिन्तन करना
cirAya	चिराय	N	विलम्ब करना,  ढील देना
ciraM kf	चिरं कृ	N	देर करना
cit	चित्	Y	प्रत्यक्षज्ञान प्राप्त करना,   देखना,  नजर डालना,   दृष्टिगोचर करना
citrIya	चित्रीय	N	आश्चर्य पैदा करना,  आश्चर्यजनक होना
cittaM banD	चित्तं बन्ध्	N	मन लगाना, दिल लगाना
ciw	चिट्	Y	भेजना,  बाहर भेजना
cud	चुद्	Y	भेजना, निर्देश देना,  आगे फेकना,  प्रेरित करना,  हाँकना,  धकेलना
culump	चुलुम्प्	N	झूलना, डोलना, इधर उधर हिलना,  दोलायमान होना
cumb	चुम्ब्	Y	चुम्बन करना
cup	चुप्	Y	शनैः शनैः चलना,  दबे पाँव चलना,  चुपचाप खिसकना
cur	चुर्	Y	लूटना,  चुराना
cut	चुत्	Y	चूना,  टपकना
cyu	च्यु	Y	गिरना, नीचे गिर पड़ना,  फिसलना, डूबना
cyut	च्युत्	Y	बूँद-बूँद गिर कर बहना,  रिसना,  चूना,  झरना
dA	दा	Y	देना, स्वीकार करना
dAn	दान्	Y	काटना, बाँटना
dE	दै	N	पवित्र करना,  शुद्ध करना
dI	दी	Y	नष्ट होना,  मरना
dIDI	दीधी	N	चमकना
dIkz	दीक्ष्	Y	किसी धर्म-संस्कार के अनुष्ठान के लिए अपने आपको तैयार करना
dIp	दीप्	Y	चमकना, जगमगाना
dU	दू	N	कष्टग्रस्त होना,  पीडित होना,  खिन्न होना
dUrIBU	दूरीभू	N	दूर रहना,  परे रहना,  अलग रहना,  फ़ासले पर रहना
dUrIkf	दूरीकृ	N	फ़ासले पर हटा देना,  हटाना,  दूर करना
daB	दभ्	Y	क्षति पहुँचाना,  चोट पहुँचाना
daD	दध्	Y	पकड़ना
daMS	दंश्	Y	काटना, डंक मारना, खा लिया, कुतर लिया
daMqa kf	दंड कृ	N	दण्ड देना
daMs	दंस्	Y	डंक मारना
daRq	दण्ड्	N	सजा देना,  जुर्माना करना,  मरम्मत करना
dad	दद्	N	देना, प्रदान करना
dah	दह्	Y	जलाना, झुलसाना
dakz	दक्ष्	Y	प्रसन्न करना
dal	दल्	Y	फट पड़ना, टुकड़े- टुकड़े होना, फट जाना, तरेड़ आ जाना
dam	दम्	Y	पाला जाना
damB	दम्भ्	N	क्षति पहुँचाना,  चोट पहुँचाना
darSanaM dA	दर्शनं दा	N	अपने आपको दिखलाना,  दूसरों की बात सुनना
darduraM kf	दर्दुरं कृ	N	वीणा बजाना
daridrA	दरिद्रा	N	निर्धन होना, गरीब होना
day	दय्	Y	दया आना,  करुणा का भाव होना,  तरस खाना,  सहानुभूति प्रदर्शित करना
de	दे	N	रक्षा करना,  पालना,  पोसना
dev	देव्	Y	क्रीड़ा करना,  खेलना,  जूआ खेलना
devasAt BU	देवसात् भू	N	बदल कर देवता बनना
df	दृ	N	आदर करना,  सम्मान करना,  पूजा करना,  प्रतिष्ठा करना
dfMh	दृंह्	N	पुष्ट करना
dfS	दृश्	N	देखना, नजर डालना,  अवलोकन करना,  समीक्षा करना,  निहारना,  दृष्टिगोचर करना
dfh	दृह्	N	स्थिर या दृढ़ होना
dfp	दृप्	N	प्रकाशित करना,  प्रज्वलित करना,  सुलगाना
diS	दिश्	Y	संकेत करना, दिखलाना, प्रदर्शन करना,  प्रस्तुत करना
dih	दिह्	Y	लीपना, सानना, पोतना, बिछाना
div	दिव्	Y	चमकना, उज्ज्वल होना
divasIkf	दिवसीकृ	N	रात को दिन में परिणत करना
dizwyA vfD	दिष्ट्या वृध्	N	बधाई देना
do	दो	N	काटना,  बाँटना
dolAya	दोलाय	N	झूलना, इधर- उधर डोलना,  इधर- उधर हिलना,  घटबढ़ होना,  आगे- पीछे होना
dozABU	दोषाभू	N	संध्या होना, सायंकाल होना
drA	द्रा	Y	सोना
drAGaya	द्राघय	N	लम्बा करना, फैलाना, विस्तार करना
draQayati	द्रढयति	N	दृढ़ करना, जकड़्ना,  कसना 
dram	द्रम्	Y	इधर-उधर जाना,  दौड़ना, इधर- उधर भागना
dru	द्रु	Y	दौड़ना, बहना, भाग जाना, प्रत्यावर्तन करना
druh	द्रुह्	Y	ईर्ष्या द्वेष करना, क्षति या द्वेष पहुँचाने की चेष्टा करना,  द्वेषपूर्वक बदला ले
du	दु	Y	जलाना, आग में भस्म करना
duh	दुह्	Y	दोहना, निचोड़ना, उद्धृत करना
dul	दुल्	Y	झूलना,  इधर- उधर हिलना- जुलना,  इधर- उधर घुमाना,  झुलाना
duz	दुष्	Y	बुरा या भ्रष्ट हो जाना,  दूषित होना,  घाटा उठाना
dviDA kf	द्विधा कृ	N	दो टुकड़े करना
dviz	द्विष्	Y	घृणा करना, पसंद न करना,  विरोधी होना
dyE	द्यै	N	घृणा करना, तिरस्कार युक्त व्यवहार करना
dyu	द्यु	Y	अग्रसर होना, मुकाबला करना, हमला करना, आक्रमण करना
dyut	द्युत्	Y	चमकना, उजला होना, जगमगाना
eD	एध्	Y	उगना, बढ़ना
eW	एठ्	Y	छेदना, रोकना, विरोध करना
ej	एज्	Y	काँपना
ez	एष्	Y	जाना, पहुँचना
f	ऋ	N	जाना, हिलना-डुलना
fC	ऋछ्	N	कड़ा, या सख्त होना
fD	ऋध्	N	सम्पन्न होना, समृद्ध होना, सफल होना
fR	ऋण्	N	जाना
fc	ऋच्	N	प्रशंसा करना, स्तुति गान करना
fj	ऋज्	N	जाना
fkz	ऋक्ष्	N	जान से मार देना
fz	ऋष्	N	जाना, पहुँचना
gAD	गाध्	Y	खड़ा होना, ठहरना, रहना
gAh	गाह्	Y	डुबकी लगाना, गोता लगाना, स्नान करना, डुबोना
gE	गै	N	गाना, गीत गाना
gF	गॄ	N	शब्द करना, पुकारना, आवाहन करना
gaR	गण्	N	गिनना, गिनती करना, गणना करना
gaYj	गञ्ज्	Y	विशेष ढंग से ध्वनि करना, शब्द करना
gad	गद्	Y	स्पष्ट कहना, कथन करना, बोलना, वर्णन करना
gah	गह्	Y	सघन या सांद्र होना
gaj	गज्	Y	चिंघाडना, दहाड़ना
gal	गल्	Y	टपकाना, चुआना, पसीजना, चूना
galB	गल्भ्	Y	साहसी या विश्वस्त होना
galh	गल्ह्	Y	कलंक लगाना, निन्दा करना
gam	गम्	Y	जाना, चलना, फिरना
gaq	गड्	Y	खींचना, निकालना
gard	गर्द्	Y	शब्द करना, दहाड़ना
garha	गर्ह	N	कलंक लगाना, निन्दा करना, झिड़की देना
garj	गर्ज्	Y	दहाड़ना, गुर्राना
garva	गर्व	N	घमंडी या अहंकारी होना
gavez	गवेष्	Y	ढूँढना, खोजना, तलाश करना, पूछताछ करना
gez	गेष्	Y	ढूँढना, खोजना, तलाश करना
gf	गृ	N	छिड़कना, तर करना, गीला करना
gfD	गृध्	N	ललचाना, इच्छा करना, लोभ वश प्रयत्नशील होना, लालायित होना, अभिलाषी होना
gfYj	गृञ्ज्	N	शब्द करना, दहाड़ना, गुर्राना आदि
gfh	गृह्	N	स्वीकार करना, प्राप्त करना, ग्रहण करना, लेना, मिलाना, लीन करना
gfj	गृज्	N	शब्द करना, दहाड़ना, गुर्राना आदि
gil	गिल्	N	निगलना
glE	ग्लै	N	विरक्ति या अरुचि अनुभव करना, काम करने को जी न करना
glah	ग्लह्	Y	जूआ खेलना, जूए में जीतना
glas	ग्लस्	Y	खाना, निगलना
gluc	ग्लुच्	Y	जाना, चलना-फिरना
golaM banD	गोलं बन्ध्	N	गोल बांधना
gom	गोम्	N	गोबर से लीपना, गोबरी फेरना
gozW	गोष्ठ्	N	एकत्र होना, इकट्ठें होना, ढेर लगाना
graT	ग्रथ्	Y	टेढ़ा होना
grah	ग्रह्	N	पकड़ना, लेना, ग्रहण करना, पकड़ लेना, थामना, लपक लेना, कसकर पकड़ना
granT	ग्रन्थ्	N	टेढ़ा होना
granTa	ग्रन्थ	N	गूंथना, बांधना, नत्थी करना
gras	ग्रस्	Y	निगलना, भसकना, खा जाना, समाप्त कर देना
gu	गु	Y	विष्ठा उत्सर्ग करना, मलोत्सर्ग करना, पखाना करना
guD	गुध्	Y	लपेटना, ढकना, आवेष्टित करना, ढांपना
guP	गुफ्	Y	गुंथना, गुंफन करना, बांधना, लपेटना
guR	गुण्	N	गुना करना
guRWa	गुण्ठ	N	 परिवृत्त करना, घेरना, लपेटना, परिवेष्टित करना
guRq	गुण्ड्	Y	ढकना, छिपाना, पीसना, चूरा करना
gud	गुद्	Y	क्रीड़ा करना, खेलना
guh	गुह्	Y	ढकना, छिपाना, परदा डालना, गुप्त रखना
guj	गुज्	Y	गुं गुं शब्द करना, गुंजार करना, गूँजना, भनभनाना
gumP	गुम्फ्	N	गुंथना, गुंफन करना, बांधना, लपेटना
gup	गुप्	Y	रक्षा करना, बचाना, आत्मरक्षा करना, रखवाली करना
gur	गुर्	Y	प्रयत्न करना, चेष्टा करना
h vf	ह् वृ	N	कुटिल होना
hA	हा	Y	जाना, हिलना-जुलना
hANgara	हाङ्गर	N	एक बड़ी मछली
hApayate	हापयते	N	छुड़वाना, परित्यक्त कराना
hApayati	हापयति	N	छुड़वाना, परित्यक्त कराना
hIyate	हीयते	N	छोड़ दिया जाना
had	हद्	Y	पुरीषोत्सर्जन, मलत्याग करना
hal	हल्	Y	हल चलाना
han	हन्	Y	मार डालना, वध करना, नाश करना, प्रहार कर देना
harzayate	हर्षयते	N	प्रसन्न करना, खुश करना, प्रसन्नता से भर जाना 
harzayati	हर्षयति	N	प्रसन्न करना, खुश करना, प्रसन्नता से भर जाना 
has	हस्	Y	मुसकराना, मन्द हंसी हंसना,
haste kf	हस्ते कृ	N	हाथ से पकड़ना, ले लेना, हाथ से ले लेना, हाथ में पकड़ लेना, अधिकार कर लेना
haw	हट्	Y	चमकना, उज्जल होना
hay	हय्	Y	जाना
heq	हेड्	N	अवज्ञा करना, अपमान करना, तिरस्कार करना
hez	हेष्	Y	घोड़े के भांति हिनहिनाना, रेंकना, दहाड़ना
hf	हृ	N	लेना, ढोना, पहुँचाना, आगे आगे चलना(इस अर्थ में बहुधा द्विकर्मक प्रयोग)
hfRIyate	हृणीयते	N	क्रुद्ध होना
hfdayaM banD	हृदयं बन्ध्	N	मन लगाना, दिल लगाना
hfdaye kf	हृदये कृ	N	ध्यान देना
hfz	हृष्	N	खुश होना, आनन्दित होना, प्रसन्न होना, हर्षित होना, बाग बाग होना, हर्षोन्मित्त हो
hiMs	हिंस्	Y	प्रहार करना, आघात करना 
hiRq	हिण्ड्	Y	जाना, घूमना, इधर उधर फिरना
hiRqA	हिण्डा	N	घूमना, या इधर उधर फिरना
hikk	हिक्क्	Y	अस्पष्ट उच्चारण करना
hil	हिल्	Y	केलिक्रीड़ा करना, स्वेच्छा से रमण करना, प्रेमालिंगन करना, कामेच्छा प्रकट करना
hlAd	ह्लाद्	Y	प्रसन्न होना, खुश होना, हर्षित होना
hlag	ह्लग्	Y	ढांपना
hlas	ह्लस्	Y	शब्द करना
hlattiH	ह्लत्तिः	N	हर्ष, प्रसन्नता
hnu	ह्नु	Y	ले जाना, लूटना, छिपा देना, वञ्चित करना
hoq	होड्	Y	उपेक्षा करना, अनादर करना 
hrAd	ह्राद्	Y	शब्द करना
hrI	ह्री	Y	शर्माना, विनीत होना
hras	ह्रस्	Y	शब्द करना
hrez	ह्रेष्	Y	घोड़ की भांति हिनहिनाना, रेंकना
hrezA	ह्रेषा	N	हिनहिनाहट
hriRIyate	ह्रिणीयते	N	क्रुद्ध होना
hu	हु	Y	(हवनकुंड में आहुति के रूप में) प्रस्तुत करना, किसी देवता के सम्मान में भेंट देना
huNkf	हुङ्कृ	N	‘हुम्’ की ध्वनि करना, दहाड़ना, चिघाड़ना, रांभना
hul	हुल्	Y	जाना
huq	हुड्	Y	जाना
huqU	हुडू	N	जाना
hurC	हुर्छ्	N	टेढ़ा होना
hval	ह्वल्	Y	जाना, हिलना-जुलना
hve	ह्वे	N	बुलाना
i	इ	Y	जाना, की ओर जाना, निकट आना
iK	इख्	Y	जाना, हिलना-डुलना
iNK	इङ्ख्	N	जाना, हिलना-डुलना,
iNg	इङ्ग्	Y	हिलना, काँपना, क्षुब्ध होना
iYja	इञ्ज	N	जाना
il	इल्	Y	जाना, चलना-फिरना
inD	इन्ध्	N	प्रज्वलित करना, जलाना, आग लगाना
iz	इष्	Y	कामना करना चाहना, प्रबल इच्छा होना
jAgf	जागृ	N	जागते रहना, खबरदार या सावधान रहना
jIv	जीव्	Y	जीना, जीवित रहना
jYA	ज्ञा	Y	जानना, सीखना, परिचित होना
jaB	जभ्	Y	सम्भोग करना
jaYj	जञ्ज्	Y	लड़ना, युद्धकरना
jaj	जज्	Y	लड़ना, युद्धकरना
jalp	जल्प्	Y	बोलना, बातें करना, संलाप करना
jam	जम्	Y	खाना
jamB	जम्भ्	N	सम्भोग करना
jan	जन्	Y	पैदा होना, उत्पन्न होना
jap	जप्	Y	मन्द स्वर में उच्चारण करना, मन ही मन में बार
jas	जस्	Y	स्वतन्त्र करना, मुक्त करना,
jaw	जट्	Y	(बालों का) जुड़ जाना, बल खाकर जटाजूट होना
jaz	जष्	Y	क्षति पहुँचाना, चोट पहुँचाना, मारना
jf	जृ	N	नम्र बनाना, नीचा दिखाना
jfB	जृभ्	N	उबासी लेना, जमुहाई लेना, 
jfmB	जृम्भ्	N	उबासी लेना, जमुहाई लेना, 
ji	जि	Y	जीतना, हराना, विजय प्राप्त करना, दमन करना
juz	जुष्	Y	प्रसन्न होना, सन्तुष्ट होना, 
jval	ज्वल्	Y	तेजी  से चलना, दीप्त होना, चमकना
jvar	ज्वर्	Y	बुख़ार या आवेश से गर्म होना, ज्वरग्रस्त होना
jyo	ज्यो	Y	परामर्श देना, नसीहत देना
kANkz	काङ्क्ष्	Y	कामना करना, चाहना, लालायित होना
kAS	काश्	Y	चमकना, उज्ज्वल या सुन्दर दिखाई देना
kAlaM kf	कालं कृ	N	मरना
kAs	कास्	Y	चमकना
kAtkf	कात्कृ	N	अपमानित करना, तिरस्कार करना
kE	कै	N	शब्द करना, ध्वनि करना 
kF	कॄ	N	बिखेरना, इधर-उधर फेंकना, उड़ेलना, डालना, तितर-बितर करना
kFt	कॄत्	N	उल्लेख करना, दोहराना, उच्चारण करना
