root_slp1	hw_dev	in_verbs01	hindi_gloss
nizpatrA kf	निष्पत्रा कृ	N	बाण से इस प्रकार बींधना जिससे कि पंख विद्ध जन्तु के आर पार निकल जाय, अत्यन्त पीड़
nu	नु	Y	प्रशंसा करना, स्तुति करना, श्लाषा करना
nud	नुद्	Y	धकेलना, धक्का देना, हांकना, ठेलना, प्रोत्साहित करना
nyUnayati	न्यूनयति	N	घटना, कम करना
oK	ओख्	Y	सूख जाना
oj	ओज्	Y	सक्षम या योग्य होना
olaRq	ओलण्ड्	Y	ऊपर की ओर फेंकना, ऊपर उछालना
olaj	ओलज्	Y	फेंक देना,उछाल देना
pA	पा	Y	पीना, एक सांस में चढ़ा जाना
pARO kf	पाणौ कृ	N	हाथ में थामना, विवाह करना
pAraM gam	पारं गम्	N	पार जाना, ऊपर चढ़ना
pAraM yA	पारं या	N	पार जाना, स्वामी होना, पार कर जाना, आगे बढ़ जाना
pE	पै	N	सूखना, मुरझाना
pI	पी	Y	पीना
pIq	पीड्	Y	पीडित करना, सताना, नुक़सान पहुँचाना, घायल करना, क्षति पहुँचाना, तंग करना, छेड़ना, 
pIv	पीव्	Y	मोटा- ताजा या हृष्ट पुष्ट होना
pU	पू	Y	पवित्र करना, छानना, शुद्ध करना
pUR	पूण्	Y	एक जगह ढेर लगाना, संचय करना, राशि लगाना
pUj	पूज्	Y	आराधना करना, पूजा करना, अर्चना करना, सम्मान करना, सादर स्वागत करना
pUl	पूल्	Y	ढेर लगाना, संचय करना, एकत्र करना
pUr	पूर्	N	भरना, पूर्ण करना
paMS	पंश्	Y	नष्ट करना
paMs	पंस्	N	नष्ट करना
paR	पण्	Y	व्यापार करना, लेन-देन करना, खरीदना, मोल लेना
paRq	पण्ड्	Y	जाना, हिलना-जुलना
paW	पठ्	Y	जोर से पढ़ना या दोहराना, सस्वर पाठ करना, पूर्वाभ्यास करना
pac	पच्	Y	पकाना, भूनना, भोजन बनाना
pad	पद्	Y	जाना, हिलना-जुलना
padIkf	पदीकृ	N	वर्गमूल , निकालना
padaM kf	पदं कृ	N	कदम रखना
padaM yA	पदं या	N	पद प्राप्त करना
pakz	पक्ष्	Y	लेना, ग्रहण करना
pan	पन्	Y	प्रशंसा करना, स्तुति करना
parR	पर्ण्	N	हराभरा करना
pard	पर्द्	Y	पाद मारना, अपानवायु छोड़ना
pariBU	परिभू	N	आगे बढ़ जाना
pariGrA	परिघ्रा	N	सर्वत्र चुम्बन करना
parihf	परिहृ	N	निराकरण करना
parikaraM banD	परिकरं बन्ध्	N	कमर कसना, तैयार हो जाना
parikaraM banDa	परिकरं बन्ध	N	कमर कसना, तैयार होना, किसी कार्य के लिए अपने आपको सज्जित करना
parikaraM kf	परिकरं कृ	N	कमर कसना, तैयार होना, किसी कार्य के लिए अपने आपको सज्जित करना
parikzip	परिक्षिप्	N	बुरा भला कहना
parityaj	परित्यज्	N	किश्ती से उतरना
parive	परिवे	N	अन्तर्ग्रथित करना, जोड़ना
pat	पत्	Y	गिरना, गिर पड़ना, नीचे आना, उतरना
paw	पट्	Y	जाना, हिलना-जुलना
payoDarIBU	पयोधरीभू	N	स्तन का काम देना
pel	पेल्	Y	जाना, चलना-फिरना
pezIkf	पेषीकृ	N	कुचलना, पीस देना
pf	पृ	N	व्यस्त होना, सक्रिय होना
pfT	पृथ्	N	विस्तार करना
pfTak kf	पृथक् कृ	N	अलग २ करना, बाँटना, जुदा-जुदा करना, विश्लेषण करना
pfc	पृच्	N	संपर्क में आना
pfj	पृज्	N	संपर्क में आना, स्पर्श करना
pfzWataH kf	पृष्ठतः कृ	N	पीठ पर रखना, पीछे छोड़ना
pfzWato BU	पृष्ठतो भू	N	पीछे खड़े होना
pfzWato gam	पृष्ठतो गम्	N	अनुसरण करना
pi	पि	Y	जाना, हिलना-जुलना
piRq	पिण्ड्	N	इकट्ठा करके पिंडी या गोला बनाना
piRqIBU	पिण्डीभू	N	गोले या लौंदे बनाना
piRqa kf	पिण्ड कृ	N	गोले बनाना, निष्पीडित करना, ढेर लगाना
piS	पिश्	Y	रूप देना, वनाना, निर्माण करना
piYj	पिञ्ज्	Y	हल्के रंग की, पुट देना, रगना
pil	पिल्	Y	फेंकना, डालना
pis	पिस्	Y	जाना, चलना
piz	पिष्	Y	कूटना, पीसना, चूरा करना, कुचलना
plI	प्ली	Y	जाना, चलना-फिरना
plah	प्लह्	N	जाना, चलना-फिरना
plev	प्लेव्	Y	सेवा करना, हाजरी देना, सेवा मे उपस्थित रहना
plu	प्लु	Y	बहना, तैरना
pluz	प्लुष्	Y	जलाना, झुलसना, धकधकाना, गर्म लोहे से दागना
pluzwa	प्लुष्ट	N	झुलसाया गया, जलाया गया, दागा गया
prARAn dA	प्राणान् दा	N	प्राण दे देना
prAdurBu	प्रादुर्भु	N	उदय होना, दिखाई देना, प्रकट होना
prArT	प्रार्थ्	N	आश्रय लेना, सहारा लेना
prI	प्री	Y	प्रसन्न करना, खुश करना, सन्तुष्ट करना,  आनन्दित करना
prItiM banD	प्रीतिं बन्ध्	N	प्रेम पाश में बद्ध होना, मुग्ध होना
praRiDIBU	प्रणिधीभू	N	गुप्तचर का काम करना
praSaMs	प्रशंस्	N	भविष्यवाणी करना
praT	प्रथ्	Y	बढ़ना
pracC	प्रच्छ्	N	पूछना, सवाल करना, प्रश्न करना, पूछताछ करना
pradA	प्रदा	N	ऋण परिशोध करना
pradakziRa kf	प्रदक्षिण कृ	N	बाईं ओर से दाईं ओर को जाना
praguRI kf	प्रगुणी कृ	N	सीधा करना, क्रम से रखना, व्यवस्थित करना
praguRIBU	प्रगुणीभू	N	अपने आप को योग्य बनाना, पात्रता प्राप्त करना
prahA	प्रहा	N	छोड़ देना, हार जाना
prahi	प्रहि	N	मुड़ना, उन्मुख होना
prahvayati	प्रह्वयति	N	विनीत करना, वशवर्ती बनाना
prajfmB	प्रजृम्भ्	N	जम्हाई लेना
prakf	प्रकृ	N	विवेक करना, भेद करना
prakfti yA	प्रकृति या	N	फिर स्वाभाविक अवस्था को प्राप्त करना
prakfz	प्रकृष्	N	वेग से खींचना
pramARI kf	प्रमाणी कृ	N	अधिकारी मानना या समझना
pramARayati	प्रमाणयति	N	अधिकृत समझना, प्रमाण स्वरूप मानना
prapaYcayati	प्रपञ्चयति	N	दिखलाना, प्रदर्शन करना
pras	प्रस्	Y	बच्चे को जन्म देना
prasf	प्रसृ	N	विषण्ण होना
prasfp	प्रसृप्	N	छा जाना, फैल जाना
pratI	प्रती	N	मुकाबला करना
pratibrU	प्रतिब्रू	N	उत्तर देना
pratigad	प्रतिगद्	N	उत्तर देना
pratijYAmAruh	प्रतिज्ञामारुह्	N	वचन देना, प्रतिज्ञा करना
prativacaH dA	प्रतिवचः दा	N	उत्तर देना
pratyaBinanda	प्रत्यभिनन्द	N	बदले में नमस्कार करना
pratyuttaraM dA	प्रत्युत्तरं दा	N	उत्तर देना
pravaRIkf	प्रवणीकृ	N	रुचि पैदा करना, झुकना
prayA	प्रया	N	ग्रस्त होना, अपने ऊपर लेना, उठाना
preNKol	प्रेङ्खोल्	N	झूलना, हिलना, डांवाडोल होना
prez	प्रेष्	Y	जाना, चलना-फिरना
proT	प्रोथ्	N	समान होना, जोड़ का होना,  मुकाबला करना
proccal	प्रोच्चल्	N	यात्रा पर प्रस्थान करने वाला
prorRu	प्रोर्णु	N	अच्छी तरह ढक लेना, चादर लपेट लेना
pru	प्रु	Y	जाना, चलना-फिरना
pruz	प्रुष्	Y	जलाना, खा-पी जाना
psA	प्सा	Y	खाना, निगल जाना
puMs	पुंस्	Y	कुचलना, पीसना
puRq	पुण्ड्	N	पीसना, चूरा करना, चूर्ण बना देना या पीस डालना
punarBU	पुनर्भू	N	फिर विवाह करना
punardA	पुनर्दा	N	वापिस देना, लौटाना
puq	पुड्	Y	छोड़ना, त्याग देना, तिलांजलि दे देना
purIzaM kf	पुरीषं कृ	N	टट्टी फिरना
puroBU	पुरोभू	N	अग्रसर होना, आगे खड़े होना
purv	पुर्व्	Y	भरना
putrIkf	पुत्रीकृ	N	पुत्र के रूप में गोद लेना
puw	पुट्	Y	आलिंगन करना, लिपटना
puz	पुष्	Y	पोषण करना, (छाती से लगाकर) दूध पिलाना, पालना, पोसना, शिक्षित करना
puzp	पुष्प्	N	खुलना, धौंकना या फूंकना, विस्तार करना, खिलना
pyAy	प्याय्	N	फूलना, मोटा होना, बढ़ना
pyE	प्यै	N	बढ़ना, वृद्धि को प्राप्त होना, मोटा होना
qI	डी	Y	उड़ना, हवा में से गुज़रना
qamB	डम्भ्	Y	इकट्ठा करना
qamb	डम्ब्	Y	फेंकना, भेजना
rA	रा	Y	देना, अनुदान देना, समर्पण करना
rAD	राध्	Y	राज़ी करना, मनाना, प्रसन्न करना
rAgaM banD	रागं बन्ध्	N	प्रेम पाश में बद्ध होना, मुग्ध होना
rAj	राज्	Y	चमकाना, जगमगाना, शानदार या सुन्दर प्रतीत होना, प्रमुख होना
rAs	रास्	Y	क्रंदन करना, चिल्लाना, किलकिलाना, शब्द करना, हूहू करना
rI	री	N	टपकना, बूंद-बूंद गिरना, रिसना, पसीजना, बहना
rUkzIkf	रूक्षीकृ	N	ऊबड़-खाबड़ करना, मैला करना, मिट्टी लथेड़ना
rUp	रूप्	N	रूप बनाना, गढ़ना
raB	रभ्	Y	आरंभ करना
raD	रध्	Y	चोट पहुँचाना, क्षति पहुँचाना, संताप देना मार डालना, नष्ट करना
raMh	रंह्	Y	हिलना-जुलना, वेग से चलना, जल्दी करना
raNK	रङ्ख्	Y	जाना
raR	रण्	N	ध्वनि करना, टनटनाना, झुनझुनाना, झनझनाना (पायजेब आदि का)
raYj	रञ्ज्	N	रंगे जाने के योग्य, लाल रंग से रंगना, लाल होना, चमकना
rac	रच्	Y	व्यवस्थित करना, सज्जित करना, तैयार करना, बना लेना, रचना करना 
rad	रद्	Y	टुकड़े टुकड़े करना, फाड़ना
radaH	रदः	N	टुकड़े टुकड़े करना, खुरचना
rah	रह्	Y	छोड़ देना, त्याग देना, परित्याग करना, तिलांजलि देना, छोड़कर अलग हो जाना 
rahaRam	रहणम्	N	छोड़ कर भाग जाना, परित्याग कर देना, अलग हो जाना
rakz	रक्ष्	Y	रक्षा करना, चौकीदारी करना, देखभाल करना, पहरा देना (पशु आदि) पालन, राज्य करना, (प
ram	रम्	Y	प्रसन्न होना, खुश होना, हर्ष मनाना, तृप्त होना
ranD	रन्ध्	N	जाना
ranDanam	रन्धनम्	N	क्षति पहुंचाना, सन्ताप देना, नष्ट करना
ranDiH	रन्धिः	N	क्षति पहुंचाना, सन्ताप देना, नष्ट करना
ras	रस्	Y	दहाड़ना, हूहू करना, चिल्लना, चीखना
raw	रट्	Y	चिल्लाना, चीत्कार करना, चीखना, क्रंदन करना, दहाड़ना, चिघाड़ना
ray	रय्	Y	जाना, हिलना-जुलना
rez	रेष्	Y	दहाड़ना, हूहू करना, किलकिलाना
ri	रि	Y	जाना, हिलना-जुलना
riNK	रिङ्ख्	Y	रेंगना, दबे पाँव चलना
riNg	रिङ्ग्	Y	रेंगना, दबे पाँव चलना
riP	रिफ्	Y	कटकटाने का शब्द करना
ric	रिच्	Y	खाली करना, रिताना, साफ करना, निर्मल करना
riktIkf	रिक्तीकृ	N	रिक्त करना,खाली करना
riz	रिष्	Y	क्षति पहुँचाना, चोट पहुँचाना, ठेस पहुँचाना
ru	रु	Y	क्रंदन करना,  हूहू करना, चिल्लाना, चीख़ना, जोर से बोलना, दहाड़ना (मक्खियों का) भनभ
ruD	रुध्	Y	इदं रुणद्धि मां पद्ममन्तःकूजितषट्पदम् @ विक्रम* ४/२१, रुद्धालोके नरपतिपथे @ मेघ*
ruS	रुश्	N	चोट पहुँचाना, जान से मार डालना, नष्ट करना
ruc	रुच्	Y	चमकाना, सुन्दर या शानदार दिखलाई देना, जगमगाना
rud	रुद्	Y	क्रंदन करना, रोना, विलाप करना, शोक मनाना, आँसू बहाना
ruh	रुह्	Y	उगना, फूटना, अंकुरित होना, उपजना
ruj	रुज्	Y	तोड़ कर टुकड़े-टुकड़े करना,  नष्ट करना
rup	रुप्	Y	वर्णन करना
ruz	रुष्	Y	रूसना, नाराज होना, क्षुब्ध होना
sAD	साध्	Y	पू्रा करना, समाप्त करना, संपन्न करना
sADAraRIBU	साधारणीभू	N	समान होना
sADanIBU	साधनीभू	N	साधन होना,उपाय होना
sADu man	साधु मन्	N	भला सोचना, अनुमोदन करना, संतोषजनक समझना
sAcIkf	साचीकृ	N	मोड़ना, एक ओर झुकाना, टेढ़ा करना
sAkzAtkf	साक्षात्कृ	N	अपनी आँखों से देखना, स्वयं जान लेना
sAm	साम्	N	खुश करना, ढाढस बँधाना, तसल्ली देना
sAntv	सान्त्व्	N	शान्त करना, खुश करना, सुलह करना, ढाढ़स-बँधाना, आराम पहुँचाना
sAw	साट्	N	बतलाना, प्रकट करना
sE	सै	N	बर्बाद होना, क्षीण होना, नष्ट होना
sIk	सीक्	Y	छिड़कना, छोटी-छोटी बूंदों में बखेरना
sImantayati	सीमन्तयति	N	बालों को अलग-अलग करना
sKad	स्खद्	Y	काटना, काट कर टुकड़े टुकड़े करना
sKal	स्खल्	Y	लड़खड़ाना, औंधे मुँह गिरना, नीचे गिरना, फिसलना, डगमगाना
sKuq	स्खुड्	Y	ढकना
sOhfdaM banD	सौहृदं बन्ध्	N	मैत्री करना
sPAy	स्फाय्	Y	मोटा होना, बड़ा होना, विस्तारयुक्त होना, विशाल होना
sPaRw	स्फण्ट्	Y	फूट पड़ना, खिलना, फूलना
sPal	स्फल्	Y	कांपना, थरथराना, धड़कना, लरजना
sPar	स्फर्	Y	थरथराना, फरकना
sPaw	स्फट्	Y	फट पड़ना, फूलना
sPiw	स्फिट्	Y	चोट पहुँचाना, क्षतिग्रस्त करना, मार डालना
sPiwwa	स्फिट्ट	N	चोट पहुँचाना आदि
sPuRw	स्फुण्ट्	Y	खोलना, फुलाना
sPul	स्फुल्	Y	कांपना, धड़कना, धकधक करना
sPuq	स्फुड्	Y	ढकना
sPur	स्फुर्	Y	थरथराना, फरकना
sPurcC	स्फुर्च्छ्	N	फैलना, विस्तृत होना
sPurj	स्फुर्ज्	N	गरजना, गरजनध्वनि, धमाधम होना, विस्फोट होना
sPuw	स्फुट्	Y	फट जाना, अकस्मात् फूट जाना, टूट जाना, अचानक विदीर्ण होना, दरार पड़ना, भंग होना
sPuww	स्फुट्ट्	N	तिरस्कार करना, अपमान करना, निरादर करना
sTA	स्था	Y	खड़ा होना
sTUlayati	स्थूलयति	N	बड़ा होना, हुष्ट पुष्ट होना, मोटा होना
sTag	स्थग्	Y	ढांपना, छिपाना, गुप्त रखना, परदा डालना
sTuq	स्थुड्	Y	ढकना
sU	सू	N	उत्पन्न करना, पैदा करना, जन्म देना
sUc	सूच्	N	बीधना
sUd	सूद्	Y	प्रहार करना, चोट पहुँचाना, घायल करना, मार डालना, नष्ट करना
sUr	सूर्	N	दृढ़ करना या दृढ़ होना
sUrRa	सूर्ण	N	चोट पहुँचाया हुआ, क्षतिग्रस्त
sUrkz	सूर्क्ष्	Y	सम्मान करना, आदर करना
sUtr	सूत्र्	N	बांधना, कसना, धागा डालना, नत्थी करना
sUz	सूष्	Y	फल प्रस्तुत करना, उत्पन्न करना, पैदा करना, जन्म देना
saBAj	सभाज्	N	अभिवादन करना, प्रणाम करना, नमस्कार करना, श्रद्धांजलि अर्पित करना, बधाई देना
saKyaM banD	सख्यं बन्ध्	N	मैत्री करना
saMSayamAruh	संशयमारुह्	N	जोखिम उठाना, सन्दिग्धावस्था में होना आदि
saMSri	संश्रि	N	संभोगसुख के लिए पहुँचना
saMSuD	संशुध्	N	शुद्ध करना,सुरक्षित रखना
saMdaMS	संदंश्	N	काटना,  डंक मारना
saMgrAmaM dA	संग्रामं दा	N	लड़ना
saMhf	संहृ	N	विपथगामी करना,भटकाना,भ्रष्ट करना
saMketaM dA	संकेतं दा	N	नियुक्ति करना
saMraB	संरभ्	N	डरना
saMsTA	संस्था	N	निर्माण करना
saMsev	संसेव्	N	सम्मिलन करना
saMsf	संसृ	N	स्थगित करना,उठा रखना
saMskf	संस्कृ	N	संचय करना
saMvad	संवद्	N	परस्पर मिलाना
saMvyas	संव्यस्	N	व्यवस्थित करना,एकत्र करना
saMyam	संयम्	N	रोकना,दमन करना,दबाना
saNgam	सङ्गम्	N	दे देना,सौप देना
saNklfp	सङ्क्लृप्	N	और्ध्वदेहिक कृत्य करना।अन्त्येष्टि करना
saW	सठ्	Y	समाप्त करना, पूरा करना
saYj	सञ्ज्	Y	संलग्न होना, जुड़े रहना, चिपके रहना
saYjYAM Apad	सञ्ज्ञां आपद्	N	फिर चैतन्य प्राप्त करना
saYjYAM laB	सञ्ज्ञां लभ्	N	फिर चैतन्य प्राप्त करना
saYjYAM pratipad	सञ्ज्ञां प्रतिपद्	N	फिर चैतन्य प्राप्त करना
saYjap	सञ्जप्	N	प्रतिवेदन देना,वक्तव्य देना
sad	सद्	Y	बैठना, बैठ जाना, आराम करना, लेटना, लेट जाना, विश्राम करना, बस जाना
sah	सह्	Y	सन्तुष्ट करना
sal	सल्	Y	जाना, हिलना-जुलना
sam	सम्	Y	विक्षुब्ध या अव्यवस्थित होना
samADA	समाधा	N	पहनना
samBf	सम्भृ	N	उठाना
samatAM nI	समतां नी	N	समान व्यवहार करना
samayAkf	समयाकृ	N	समय बिताना
samb	सम्ब्	Y	जाना, हिलना-जुलना
sambAkf	सम्बाकृ	N	दो बार हल चलाना
san	सन्	Y	प्रेम करना, पसन्द करना
sannI	सन्नी	N	 भरना,पूर्ण करना
sap	सप्	Y	सम्मान करना, पूजा करना
sarb	सर्ब्	Y	जाना, हिलना-जुलना
sarj	सर्ज्	Y	अवाप्त करना, उपलब्ध करना
sarv	सर्व्	N	चोट पहुँचाना, क्षतिग्रस्त करना, वध करना
sas	सस्	Y	सोना
sasj	सस्ज्	N	संलग्न होना, जुड़े रहना, चिपके रहना
satkf	सत्कृ	N	सम्मान करना, सत्कार करना
satyaM brU	सत्यं ब्रू	N	सच बोलना
saw	सट्	Y	बांटना, भाग बनाना
saww	सट्ट्	Y	क्षति पहुँचाना, मार डालना
say	सय्	Y	जाना, हिलना-जुलना
sbf	स्बृ	N	शब्द करना, सस्वर पाठ करना
sek	सेक्	Y	जाना, हिलना-जुलना
sel	सेल्	Y	जाना, हिलना-जुलना
setuM banD	सेतुं बन्ध्	N	पुल बनाना, सेतु का निर्माण करना
sev	सेव्	Y	सेवा करना, सेवा में उपस्थित रहना, सम्मान करना, पूजा करना, आज्ञा मानना
sf	सृ	N	जाना, हिलना-जुलना, प्रगति करना
sfB, sfmBa	सृभ्, सृम्भ	N	चोट पहुँचाना, क्षतिग्रस्त करना, वध करना
sfj	सृज्	N	रचना करना, पैदा करना, बनाना, प्रसव करना, जन्म देना
sfp	सृप्	N	रेंगना, पेट के बल चलना, शनैः शनैः सरकना
si	सि	Y	बांधना, कसना, जकड़ना
siD	सिध्	Y	सम्पन्न होना, पूरा होना
sic	सिच्	Y	छिड़कना, छोटी-छोटी बूंदों में बखेरना
sinv	सिन्व्	Y	गीला करना, भिगोना
siv	सिव्	N	सीना, रफ़ू करना, तुरपना, टांका लगाना
siw	सिट्	Y	अवज्ञा करना, घृणा करना
skamB	स्कम्भ्	N	रचना
skanD	स्कन्ध्	Y	एकत्र करना
skand	स्कन्द्	Y	कूदना
sku	स्कु	Y	कूद कर चलना, उछलना, चौकड़ी भरना
skund	स्कुन्द्	Y	कूदना
smIl	स्मील्	Y	झपकना, आँख से संकेत करना
smf	स्मृ	N	प्रसन्न होना, संतुष्ट होना
smftipaTaM gam	स्मृतिपथं गम्	N	मरना
smftivizayaM gam	स्मृतिविषयं गम्	N	मरना
smi	स्मि	Y	मुस्कराना, हँसना
smiw	स्मिट्	Y	अपमानित करना, घृणा करना, नफरत करना
snA	स्ना	Y	स्नान करना, नहाना, पानी में डुबकी लगाना
snE	स्नै	N	पट्टी बांधना, लपेटना, सुडौल करना, आवृत्त करना, परिवेष्टित करना
snas	स्नस्	Y	बसना
snih	स्निह्	Y	स्नेह रखना, स्नेहानुभूति होना, प्रेम करना, प्रिय होना
snu	स्नु	Y	टपकना, स्रवन करना, बू्ंद-बूंद गिरना, स्रवित होना, पड़ना, रिसना, चूना
snuh	स्नुह्	Y	उलटी करना, कै करना
so	सो	N	वध करना, नष्ट करना
spF	स्पॄ	N	आघात करना, मार डालना
spaS	स्पश्	Y	अवरुद्ध करना
spand	स्पन्द्	Y	धड़कना, धकधक करना
sparD	स्पर्ध्	Y	स्पृह करना, होड़ लगाना, मुकाबला करना, प्रतिद्वन्द्विता करना, प्रतियोगिता करना
sparS	स्पर्श्	Y	लेना, पकड़ना, छूना
sparz	स्पर्ष्	Y	गीला या तर होना
spazwIkf	स्पष्टीकृ	N	साफ करना, प्रकट करना, व्याख्या खोल कर कहना
spf	स्पृ	N	मुक्त करना, उद्धार करना
spfS	स्पृश्	N	छूना
spfh	स्पृह्	N	कामना करना, लालायित होना, इच्छा करना, उत्सुक होना, चाहना
srE	स्रै	N	उबालना
sraMh	स्रंह्	Y	विश्वास करना, भरोसा करना
sraMs	स्रंस्	Y	गिरना, नीचे गिर पड़ना
sramB	स्रम्भ्	N	विश्वास करना
srek	स्रेक्	Y	जाना, गतिशील होना
sriB	स्रिभ्	Y	चोट पहुँचाना, मार डालना
srimB	स्रिम्भ्	N	चोट पहुँचाना, मार डालना
sriv	स्रिव्	N	जाना
